RefElement                                            |       Insert |       Remove |        Total |            σ
Framework.ClosureUnsafePointerHeap (local literal)    |      3.132ms |      9.123ms |      12.25ms |     0.9528ms
Framework.ClosureArrayBufferHeap                      |      3.415ms |      9.012ms |      12.43ms |      1.033ms
Framework.ClosureUnsafePointerHeap (argument <)       |      3.151ms |      9.322ms |      12.47ms |     0.9712ms
Framework.ClosureUnsafePointerHeap (argument literal) |      3.139ms |      9.407ms |      12.55ms |     0.9443ms
ClosureUnsafePointerHeap (local <)                    |      3.877ms |      35.96ms |      39.84ms |      2.686ms
Framework.NonCoWHeap                                  |      4.495ms |      40.71ms |       45.2ms |      5.976ms
Framework.ClosureManagedBufferHeap                    |      19.36ms |      27.58ms |      46.94ms |      2.996ms
Framework.UnsafePointerHeap                           |      6.811ms |       42.8ms |      49.62ms |       3.18ms
Framework.ClosureUnsafePointerHeap (local <)          |      7.648ms |      48.59ms |      56.24ms |      3.952ms
Framework.ArrayPointerHeap                            |      15.25ms |      60.18ms |      75.43ms |      5.395ms
Framework.ManagedBufferHeap                           |      21.75ms |      59.23ms |      80.98ms |      5.235ms
Framework.PtrElementHeap                              |      4.972ms |      121.1ms |      126.1ms |      7.947ms
Framework.ArrayHeap                                   |      16.44ms |      164.5ms |      180.9ms |      15.21ms
-----------------------------------------------------------------------------------------------------------------

UnmanagedElement                                      |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
PtrElementHeap                                        |    0.08245ms |     0.9975ms |       1.08ms |    0.09532ms
UnsafePointerHeap                                     |     0.2199ms |       1.19ms |       1.41ms |      0.116ms
ClosureUnsafePointerHeap (local literal)              |     0.2422ms |      1.201ms |      1.444ms |     0.1449ms
ManagedBufferHeap (workaround)                        |     0.2466ms |      1.241ms |      1.487ms |      0.133ms
NonCoWHeap                                            |      0.306ms |      1.292ms |      1.598ms |     0.1335ms
ManagedBufferHeap                                     |      0.347ms |      1.287ms |      1.634ms |      0.138ms
ArrayHeap                                             |     0.2544ms |      1.529ms |      1.784ms |     0.1719ms
ArrayPointerHeap                                      |     0.4887ms |      1.465ms |      1.954ms |     0.5281ms
ClosureUnsafePointerHeap (argument literal)           |     0.3599ms |      2.423ms |      2.783ms |     0.2444ms
ClosureUnsafePointerHeap (argument <)                 |     0.3605ms |      2.427ms |      2.788ms |     0.2582ms
ClosureManagedBufferHeap                              |     0.3514ms |      2.463ms |      2.814ms |     0.2546ms
ClosureArrayBufferHeap                                |     0.3288ms |      2.508ms |      2.837ms |     0.2551ms
ArrayPointerHeap (workaround)                         |     0.2803ms |      3.519ms |      3.799ms |     0.3313ms
Framework.ClosureUnsafePointerHeap (local literal)    |      3.082ms |       9.02ms |       12.1ms |     0.9571ms
Framework.ClosureArrayBufferHeap                      |      3.395ms |      8.789ms |      12.18ms |     0.9905ms
Framework.ClosureUnsafePointerHeap (argument <)       |       3.11ms |      9.206ms |      12.32ms |     0.8675ms
Framework.ClosureUnsafePointerHeap (argument literal) |      3.131ms |       9.29ms |      12.42ms |       1.03ms
ClosureUnsafePointerHeap (local <)                    |       1.26ms |      11.27ms |      12.53ms |     0.9762ms
Framework.NonCoWHeap                                  |      1.749ms |       14.1ms |      15.85ms |      1.246ms
Framework.UnsafePointerHeap                           |      4.096ms |      16.83ms |      20.92ms |      1.474ms
Framework.ClosureUnsafePointerHeap (local <)          |      4.885ms |      22.01ms |       26.9ms |      2.132ms
Framework.ArrayPointerHeap                            |       12.3ms |      34.05ms |      46.35ms |      3.255ms
Framework.ClosureManagedBufferHeap                    |      19.22ms |      27.58ms |       46.8ms |      3.179ms
Framework.ManagedBufferHeap                           |      18.85ms |      33.14ms |      51.99ms |      3.301ms
Framework.PtrElementHeap                              |       5.01ms |      122.6ms |      127.6ms |      11.47ms
Framework.ArrayHeap                                   |      13.54ms |      137.6ms |      151.2ms |      12.63ms
-----------------------------------------------------------------------------------------------------------------

