RefElement                                              |       Insert |       Remove |        Total |            σ
BinaryHeap.ManagedBufferHeap                           |      0.366ms |       1.59ms |      1.956ms |     0.1076ms
BinaryHeap.ArrayPointerHeap                            |     0.4004ms |      1.803ms |      2.204ms |     0.1682ms
BinaryHeap.ArrayHeap                                   |     0.3093ms |       2.05ms |      2.359ms |     0.1528ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |     0.4184ms |      3.675ms |      4.094ms |      0.625ms
Framework.ClosureUnsafePointerHeap (argument literal)  |     0.9434ms |      6.834ms |      7.778ms |     0.2391ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |      1.296ms |       12.1ms |      13.39ms |      0.739ms
BinaryHeap.ClosureArrayBufferHeap                      |      1.304ms |      12.11ms |      13.41ms |     0.6568ms
BinaryHeap.ClosureManagedBufferHeap                    |      1.321ms |      12.11ms |      13.43ms |     0.5796ms
Framework.UnsafePointerHeap                            |      1.745ms |       13.9ms |      15.65ms |      1.019ms
Framework.NonCoWHeap                                   |      1.992ms |      13.73ms |      15.72ms |     0.5862ms
Framework.ClosureUnsafePointerHeap (local literal)     |      1.801ms |      14.95ms |      16.75ms |      1.048ms
Framework.ClosureArrayBufferHeap                       |      1.814ms |      15.27ms |      17.08ms |       1.13ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |      1.518ms |      17.59ms |       19.1ms |     0.9024ms
Framework.ClosureUnsafePointerHeap (argument <)        |      2.155ms |      21.28ms |      23.44ms |      4.593ms
Framework.ArrayPointerHeap                             |      11.48ms |      30.86ms |      42.34ms |      2.179ms
Framework.ManagedBufferHeap                            |      17.74ms |      31.82ms |      49.57ms |       2.34ms
Framework.ClosureManagedBufferHeap                     |      19.26ms |       35.7ms |      54.96ms |       2.02ms
Framework.PtrElementHeap                               |      4.871ms |      126.7ms |      131.5ms |      4.617ms
Framework.ArrayHeap                                    |      13.95ms |      135.8ms |      149.8ms |      4.751ms
------------------------------------------------------------------------------------------------------------------

PtrElement Val                                         |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
BinaryHeap.PtrElementHeap                              |     0.0649ms |      1.187ms |      1.252ms |    0.07465ms
BinaryHeap.ManagedBufferHeap (workaround)              |     0.2886ms |      1.298ms |      1.587ms |     0.1009ms
BinaryHeap.UnsafePointerHeap                           |     0.3036ms |      1.361ms |      1.664ms |     0.1487ms
BinaryHeap.ArrayPointerHeap (workaround)               |     0.2969ms |      1.459ms |      1.756ms |     0.1151ms
BinaryHeap.NonCoWHeap                                  |     0.3601ms |      1.396ms |      1.756ms |    0.08027ms
BinaryHeap.ManagedBufferHeap                           |     0.3685ms |      1.415ms |      1.783ms |    0.07958ms
BinaryHeap.ArrayPointerHeap                            |     0.4044ms |      1.638ms |      2.042ms |     0.1239ms
BinaryHeap.ArrayHeap                                   |     0.3032ms |      1.854ms |      2.158ms |     0.1228ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |     0.4296ms |      3.326ms |      3.756ms |     0.4229ms
Framework.ClosureUnsafePointerHeap (argument literal)  |     0.9497ms |      6.631ms |      7.581ms |     0.3125ms
BinaryHeap.ClosureManagedBufferHeap                    |      3.981ms |      36.82ms |       40.8ms |      1.296ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |      3.952ms |      37.12ms |      41.07ms |      1.807ms
BinaryHeap.ClosureArrayBufferHeap                      |      3.968ms |      37.19ms |      41.16ms |      1.387ms
Framework.NonCoWHeap                                   |      4.698ms |      39.17ms |      43.86ms |      1.277ms
Framework.UnsafePointerHeap                            |      4.727ms |      39.63ms |      44.36ms |      3.148ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |      4.104ms |      41.03ms |      45.13ms |      1.543ms
Framework.ClosureArrayBufferHeap                       |      4.576ms |      41.36ms |      45.94ms |      4.204ms
Framework.ClosureUnsafePointerHeap (local literal)     |      4.603ms |      41.45ms |      46.05ms |      5.203ms
Framework.ClosureUnsafePointerHeap (argument <)        |      4.625ms |      44.09ms |      48.71ms |      2.121ms
Framework.ArrayPointerHeap                             |      14.03ms |      56.25ms |      70.28ms |      2.859ms
Framework.ManagedBufferHeap                            |      20.53ms |      57.76ms |      78.29ms |      5.336ms
Framework.ClosureManagedBufferHeap                     |      21.82ms |      61.71ms |      83.53ms |      3.007ms
Framework.PtrElementHeap                               |      4.943ms |      128.1ms |        133ms |      8.634ms
Framework.ArrayHeap                                    |      16.44ms |      163.8ms |      180.2ms |      9.155ms
------------------------------------------------------------------------------------------------------------------

UnmanagedElement                                       |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
BinaryHeap.PtrElementHeap                              |    0.06386ms |      1.182ms |      1.246ms |    0.07896ms
BinaryHeap.ManagedBufferHeap (workaround)              |     0.2536ms |      1.107ms |       1.36ms |     0.1177ms
BinaryHeap.UnsafePointerHeap                           |     0.2795ms |      1.147ms |      1.427ms |     0.1346ms
BinaryHeap.ArrayPointerHeap (workaround)               |     0.2664ms |      1.224ms |      1.491ms |    0.09036ms
BinaryHeap.NonCoWHeap                                  |      0.326ms |      1.189ms |      1.515ms |    0.08063ms
BinaryHeap.ManagedBufferHeap                           |     0.3413ms |       1.24ms |      1.582ms |     0.1342ms
BinaryHeap.ArrayPointerHeap                            |     0.3655ms |      1.453ms |      1.818ms |     0.1652ms
BinaryHeap.ArrayHeap                                   |     0.2651ms |      1.599ms |      1.864ms |     0.1216ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |     0.3679ms |      3.384ms |      3.752ms |     0.3401ms
Framework.ClosureUnsafePointerHeap (argument literal)  |     0.9083ms |      6.635ms |      7.544ms |     0.3179ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |     0.6578ms |      8.568ms |      9.226ms |      1.573ms
BinaryHeap.ClosureManagedBufferHeap                    |       1.15ms |      10.23ms |      11.38ms |     0.4427ms
BinaryHeap.ClosureArrayBufferHeap                      |      1.143ms |      10.48ms |      11.62ms |     0.6653ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |      1.167ms |      10.57ms |      11.74ms |     0.6723ms
Framework.ClosureUnsafePointerHeap (argument <)        |      1.213ms |      10.84ms |      12.05ms |     0.4232ms
Framework.NonCoWHeap                                   |      1.836ms |      12.05ms |      13.89ms |     0.4042ms
Framework.UnsafePointerHeap                            |      1.649ms |      12.33ms |      13.98ms |      0.835ms
Framework.ClosureUnsafePointerHeap (local literal)     |      1.652ms |      13.29ms |      14.94ms |     0.7988ms
Framework.ClosureArrayBufferHeap                       |       1.71ms |      13.68ms |      15.39ms |      1.094ms
Framework.ArrayPointerHeap                             |      11.07ms |      28.23ms |       39.3ms |      1.395ms
Framework.ManagedBufferHeap                            |      17.58ms |      29.92ms |       47.5ms |      1.874ms
Framework.ClosureManagedBufferHeap                     |      18.95ms |      34.09ms |      53.04ms |       1.53ms
Framework.PtrElementHeap                               |      4.961ms |      129.2ms |      134.2ms |      8.837ms
Framework.ArrayHeap                                    |      13.62ms |      134.7ms |      148.3ms |      5.909ms
------------------------------------------------------------------------------------------------------------------

