RefElement                                            |       Insert |       Remove |        Total |            σ
Framework.ClosureUnsafePointerHeap (argument <)       |       8.56ms |      49.47ms |      58.03ms |      1.611ms
Framework.ClosureUnsafePointerHeap (local literal)    |      8.229ms |      49.89ms |      58.12ms |      2.186ms
ClosureUnsafePointerHeap (argument <)                 |       8.41ms |      50.05ms |      58.46ms |      2.187ms
ClosureUnsafePointerHeap (local literal)              |      8.261ms |      50.31ms |      58.57ms |      3.111ms
UnsafePointerHeap                                     |       12.1ms |      48.05ms |      60.15ms |      1.609ms
ClosureUnsafePointerHeap (argument literal)           |      8.666ms |      51.63ms |       60.3ms |      2.232ms
Framework.ClosureUnsafePointerHeap (argument literal) |      8.711ms |      51.73ms |      60.44ms |      2.174ms
Framework.UnsafePointerHeap                           |      12.15ms |      49.69ms |      61.84ms |       1.68ms
ClosureUnsafePointerHeap (local <)                    |      8.851ms |      53.35ms |       62.2ms |      3.296ms
Framework.ClosureUnsafePointerHeap (local <)          |      9.244ms |      54.24ms |      63.49ms |       10.5ms
ArrayPointerHeap (workaround)                         |      18.89ms |      62.49ms |      81.38ms |      2.492ms
ArrayPointerHeap                                      |      22.81ms |      66.13ms |      88.94ms |      2.761ms
Framework.ClosureManagedBufferHeap                    |      23.52ms |      66.49ms |      90.01ms |      3.045ms
ClosureManagedBufferHeap                              |      23.79ms |      66.26ms |      90.06ms |       2.14ms
ManagedBufferHeap                                     |      26.62ms |      63.63ms |      90.25ms |       3.04ms
Framework.ArrayPointerHeap                            |      23.06ms |      67.67ms |      90.72ms |      5.201ms
Framework.ManagedBufferHeap                           |      26.45ms |      65.37ms |      91.82ms |      2.692ms
ManagedBufferHeap (workaround)                        |      27.71ms |      65.82ms |      93.53ms |      4.701ms
PtrElementHeap                                        |      4.364ms |      111.8ms |      116.2ms |      4.282ms
Framework.PtrElementHeap                              |      4.359ms |      111.9ms |      116.3ms |      3.897ms
ArrayHeap                                             |      20.18ms |        152ms |      172.2ms |      4.486ms
Framework.ArrayHeap                                   |      20.18ms |      152.9ms |      173.1ms |      8.242ms
-----------------------------------------------------------------------------------------------------------------

PtrElement Ref                                        |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
NonCoWHeap                                            |      4.527ms |      14.64ms |      19.17ms |     0.8361ms
Framework.NonCoWHeap                                  |      4.563ms |      14.74ms |       19.3ms |      1.639ms
ClosureUnsafePointerHeap (local literal)              |       4.02ms |      17.98ms |         22ms |     0.7951ms
Framework.ClosureUnsafePointerHeap (local literal)    |      4.009ms |      18.04ms |      22.05ms |      0.663ms
Framework.ClosureUnsafePointerHeap (argument literal) |      4.029ms |      18.08ms |      22.11ms |     0.8563ms
