ReferenceElement                                        |       Insert |       Remove |        Total |            σ
Framework.PointerValueElementHeap                      |     0.3103ms |      1.486ms |      1.796ms |    0.06606ms
BinaryHeap.ArrayPointerHeap                            |      0.404ms |      1.619ms |      2.023ms |     0.1393ms
BinaryHeap.ArrayHeap                                   |     0.2969ms |      1.813ms |       2.11ms |     0.1075ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |     0.3903ms |      3.274ms |      3.665ms |     0.1742ms
Framework.ClosureUnsafePointerHeap (argument literal)  |     0.9454ms |      6.474ms |       7.42ms |     0.1835ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |      3.898ms |      36.29ms |      40.19ms |      1.216ms
BinaryHeap.ClosureManagedBufferHeap                    |      3.949ms |      37.11ms |      41.06ms |      1.274ms
Framework.UnsafePointerHeap                            |      4.409ms |      38.62ms |      43.03ms |      0.953ms
Framework.NonCoWHeap                                   |      4.608ms |      38.58ms |      43.19ms |     0.8495ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |      4.011ms |      39.74ms |      43.75ms |      1.118ms
Framework.ClosureUnsafePointerHeap (local literal)     |       4.47ms |      39.88ms |      44.35ms |      1.604ms
Framework.ClosureUnsafePointerHeap (argument <)        |      4.543ms |      43.13ms |      47.68ms |      1.459ms
BinaryHeap.ClosureArrayBufferHeap                      |      4.628ms |      45.33ms |      49.96ms |       1.53ms
Framework.ClosureArrayBufferHeap                       |        7.9ms |      56.44ms |      64.34ms |      1.946ms
Framework.ArrayPointerHeap                             |      13.68ms |      55.18ms |      68.86ms |      2.437ms
Framework.ManagedBufferHeap                            |      20.08ms |       56.5ms |      76.58ms |      2.298ms
Framework.ClosureManagedBufferHeap                     |      21.29ms |      59.95ms |      81.24ms |       2.34ms
Framework.ArrayHeap                                    |      16.08ms |      159.7ms |      175.8ms |      3.865ms
------------------------------------------------------------------------------------------------------------------

UnmanagedElement                                       |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
BinaryHeap.ManagedBufferHeap (workaround)              |      0.256ms |      1.149ms |      1.405ms |     0.0837ms
BinaryHeap.UnmanagedElementHeap                        |     0.2774ms |      1.159ms |      1.436ms |    0.06965ms
BinaryHeap.UnsafePointerHeap                           |     0.2701ms |      1.177ms |      1.447ms |    0.09094ms
BinaryHeap.NonCoWHeap                                  |     0.3321ms |      1.217ms |      1.549ms |    0.06554ms
BinaryHeap.ArrayPointerHeap (workaround)               |     0.2716ms |      1.281ms |      1.553ms |    0.09937ms
Framework.UnmanagedElementHeap                         |     0.2844ms |      1.319ms |      1.603ms |    0.08137ms
BinaryHeap.ManagedBufferHeap                           |      0.343ms |      1.271ms |      1.614ms |    0.09045ms
BinaryHeap.ArrayPointerHeap                            |     0.3702ms |      1.462ms |      1.832ms |    0.09242ms
BinaryHeap.ArrayHeap                                   |     0.2717ms |      1.649ms |      1.921ms |    0.09841ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |     0.3517ms |       3.11ms |      3.461ms |     0.1455ms
Framework.ClosureUnsafePointerHeap (argument literal)  |     0.8929ms |      6.516ms |      7.409ms |     0.2985ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |      3.658ms |      30.47ms |      34.13ms |      4.253ms
BinaryHeap.ClosureManagedBufferHeap                    |      3.725ms |      31.06ms |      34.78ms |       4.49ms
Framework.NonCoWHeap                                   |      4.324ms |      32.66ms |      36.98ms |      4.283ms
Framework.UnsafePointerHeap                            |      4.186ms |      33.14ms |      37.33ms |      4.484ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |      3.874ms |      33.46ms |      37.33ms |      4.407ms
Framework.ClosureUnsafePointerHeap (local literal)     |      4.252ms |      34.01ms |      38.26ms |      4.074ms
Framework.ClosureUnsafePointerHeap (argument <)        |      4.443ms |      37.34ms |      41.78ms |      4.059ms
BinaryHeap.ClosureArrayBufferHeap                      |      4.318ms |       38.3ms |      42.62ms |      4.346ms
Framework.ClosureArrayBufferHeap                       |      7.818ms |      50.22ms |      58.04ms |      4.549ms
Framework.ArrayPointerHeap                             |      13.46ms |      49.07ms |      62.52ms |       4.69ms
Framework.ManagedBufferHeap                            |      20.19ms |      50.67ms |      70.85ms |      4.487ms
Framework.ClosureManagedBufferHeap                     |      21.26ms |      54.32ms |      75.58ms |      4.375ms
Framework.ArrayHeap                                    |      15.99ms |      151.1ms |        167ms |      6.005ms
------------------------------------------------------------------------------------------------------------------

