ReferenceElement                                      |       Insert |       Remove |        Total |            σ
ArrayPointerHeap                                      |      15.23ms |      35.03ms |      50.27ms |      2.853ms
Framework.ArrayPointerHeap                            |      15.49ms |      35.67ms |      51.15ms |      4.644ms
Framework.ManagedBufferHeap                           |      21.94ms |      34.91ms |      56.85ms |      3.079ms
ManagedBufferHeap                                     |      22.51ms |      35.58ms |      58.09ms |      4.263ms
Framework.ClosureManagedBufferHeap                    |      20.84ms |      39.28ms |      60.12ms |      3.047ms
ClosureManagedBufferHeap                              |      20.98ms |      39.83ms |      60.81ms |      4.771ms
ManagedBufferHeap (workaround)                        |      23.06ms |      37.85ms |      60.91ms |      4.054ms
ArrayHeap                                             |      16.83ms |      140.2ms |        157ms |      10.78ms
Framework.ArrayHeap                                   |      17.51ms |        147ms |      164.5ms |      10.85ms
-----------------------------------------------------------------------------------------------------------------

PointerElement Val                                    |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
Framework.NonCoWHeap                                  |      7.825ms |      40.94ms |      48.76ms |       3.05ms
NonCoWHeap                                            |      7.848ms |      41.41ms |      49.26ms |      5.784ms
ClosureUnsafePointerHeap (argument literal)           |      6.941ms |      45.92ms |      52.86ms |      2.604ms
Framework.ClosureUnsafePointerHeap (local literal)    |       7.08ms |      46.27ms |      53.35ms |       3.54ms
ClosureUnsafePointerHeap (local literal)              |      7.069ms |      46.45ms |      53.52ms |      2.798ms
Framework.UnsafePointerHeap                           |      9.909ms |      44.02ms |      53.92ms |      3.229ms
UnsafePointerHeap                                     |       9.84ms |      44.18ms |      54.02ms |      3.708ms
PointerValueElementHeap                               |      10.08ms |      44.08ms |      54.16ms |      5.197ms
Framework.PointerValueElementHeap                     |      10.06ms |      44.21ms |      54.27ms |      4.783ms
Framework.ClosureUnsafePointerHeap (argument literal) |      7.103ms |       47.9ms |         55ms |      4.716ms
Framework.ClosureUnsafePointerHeap (local <)          |      7.863ms |       52.5ms |      60.36ms |      3.289ms
ClosureUnsafePointerHeap (local <)                    |      7.787ms |       52.6ms |      60.39ms |      2.735ms
ClosureUnsafePointerHeap (argument <)                 |      7.588ms |       52.9ms |      60.49ms |        2.9ms
Framework.ClosureUnsafePointerHeap (argument <)       |      7.743ms |      52.76ms |      60.51ms |      3.917ms
ClosureArrayBufferHeap                                |      11.02ms |       62.9ms |      73.92ms |      3.599ms
Framework.ClosureArrayBufferHeap                      |      11.12ms |       63.3ms |      74.42ms |      3.555ms
ArrayPointerHeap (workaround)                         |       17.4ms |      60.39ms |      77.79ms |       5.14ms
Framework.ArrayPointerHeap                            |      18.07ms |      60.54ms |       78.6ms |       5.36ms
ArrayPointerHeap                                      |      18.22ms |      61.32ms |      79.54ms |      4.496ms
Framework.ManagedBufferHeap                           |      24.69ms |      60.05ms |      84.75ms |      4.869ms
ManagedBufferHeap                                     |      24.95ms |      61.41ms |      86.36ms |      6.049ms
ManagedBufferHeap (workaround)                        |      25.92ms |      62.93ms |      88.85ms |      4.155ms
ClosureManagedBufferHeap                              |      23.55ms |       65.7ms |      89.25ms |      5.748ms
Framework.ClosureManagedBufferHeap                    |      23.42ms |      66.43ms |      89.85ms |       5.57ms
ArrayHeap                                             |      19.43ms |      164.1ms |      183.5ms |      9.516ms
Framework.ArrayHeap                                   |      20.31ms |      172.2ms |      192.5ms |      9.062ms
-----------------------------------------------------------------------------------------------------------------

UnmanagedElement                                      |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
NonCoWHeap                                            |      4.892ms |      14.68ms |      19.57ms |      1.762ms
Framework.NonCoWHeap                                  |      4.929ms |      14.69ms |      19.62ms |       1.32ms
ClosureUnsafePointerHeap (local literal)              |      4.193ms |      19.23ms |      23.42ms |      1.309ms
ClosureUnsafePointerHeap (argument literal)           |      4.221ms |      19.22ms |      23.44ms |      1.568ms
Framework.ClosureUnsafePointerHeap (argument literal) |      4.276ms |      19.22ms |       23.5ms |      1.144ms
Framework.ClosureUnsafePointerHeap (local literal)    |      4.416ms |      19.44ms |      23.86ms |      1.785ms
Framework.UnsafePointerHeap                           |      7.033ms |      17.26ms |      24.29ms |      1.398ms
Framework.UnmanagedElementHeap                        |      7.044ms |      17.39ms |      24.43ms |      2.591ms
UnmanagedElementHeap                                  |      7.132ms |      17.42ms |      24.55ms |      1.968ms
UnsafePointerHeap                                     |      7.284ms |      17.68ms |      24.97ms |      1.633ms
ClosureUnsafePointerHeap (local <)                    |      4.973ms |      25.46ms |      30.44ms |      1.393ms
Framework.ClosureUnsafePointerHeap (local <)          |      4.847ms |      25.67ms |      30.51ms |      1.584ms
Framework.ClosureUnsafePointerHeap (argument <)       |      5.068ms |      26.25ms |      31.32ms |      1.762ms
ClosureUnsafePointerHeap (argument <)                 |      4.945ms |      26.74ms |      31.68ms |      2.865ms
ClosureArrayBufferHeap                                |       8.01ms |      36.94ms |      44.95ms |      2.905ms
Framework.ClosureArrayBufferHeap                      |      8.123ms |      37.43ms |      45.55ms |      3.365ms
ArrayPointerHeap (workaround)                         |      14.52ms |      33.05ms |      47.57ms |      2.402ms
Framework.ArrayPointerHeap                            |      15.11ms |      33.56ms |      48.67ms |      3.225ms
ArrayPointerHeap                                      |      15.32ms |      33.82ms |      49.14ms |      2.782ms
Framework.ManagedBufferHeap                           |      21.83ms |      33.16ms |      54.99ms |      2.408ms
ManagedBufferHeap                                     |      22.32ms |      34.18ms |       56.5ms |      3.059ms
Framework.ClosureManagedBufferHeap                    |      20.51ms |      37.89ms |       58.4ms |        3.5ms
ClosureManagedBufferHeap                              |      20.65ms |      38.78ms |      59.43ms |      6.091ms
ManagedBufferHeap (workaround)                        |      23.99ms |      37.07ms |      61.06ms |      3.504ms
ArrayHeap                                             |      16.02ms |      135.9ms |      151.9ms |      5.429ms
Framework.ArrayHeap                                   |      17.22ms |      143.5ms |      160.7ms |      8.836ms
-----------------------------------------------------------------------------------------------------------------

