ReferenceElement                                        |       Insert |       Remove |        Total |            σ
BinaryHeap.NonCoWHeap                                  |      11.45ms |      48.11ms |      59.56ms |       2.31ms
Framework.NonCoWHeap                                   |      11.41ms |      48.22ms |      59.63ms |      2.423ms
Framework.ClosureUnsafePointerHeap (local literal)     |      8.535ms |      51.54ms |      60.07ms |      6.852ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |      8.705ms |      51.77ms |      60.47ms |      12.32ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |      8.806ms |      53.41ms |      62.22ms |      5.216ms
Framework.ClosureUnsafePointerHeap (argument <)        |       9.08ms |      54.02ms |       63.1ms |      8.708ms
Framework.ClosureUnsafePointerHeap (argument literal)  |      8.761ms |       54.9ms |      63.67ms |      15.52ms
Framework.UnsafePointerHeap                            |      13.44ms |      50.29ms |      63.73ms |      5.465ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |      9.433ms |      54.47ms |       63.9ms |      17.82ms
BinaryHeap.LargeValueElementHeap                       |      13.25ms |      50.95ms |      64.19ms |      3.659ms
BinaryHeap.UnsafePointerHeap                           |      13.45ms |      50.76ms |       64.2ms |      4.896ms
Framework.LargeValueElementHeap                        |      13.22ms |      51.74ms |      64.96ms |      2.383ms
BinaryHeap.ArrayPointerHeap (workaround)               |      20.83ms |      65.08ms |      85.92ms |      6.176ms
BinaryHeap.ArrayPointerHeap                            |      25.19ms |      68.79ms |      93.99ms |      3.392ms
Framework.ArrayPointerHeap                             |      25.39ms |      69.34ms |      94.73ms |       4.75ms
BinaryHeap.ClosureManagedBufferHeap                    |      24.81ms |      70.34ms |      95.16ms |      4.524ms
Framework.ClosureManagedBufferHeap                     |      24.69ms |      70.54ms |      95.22ms |      7.488ms
Framework.ManagedBufferHeap                            |      28.14ms |      67.27ms |      95.41ms |      8.176ms
BinaryHeap.ManagedBufferHeap                           |      28.35ms |      67.85ms |       96.2ms |      13.65ms
BinaryHeap.ManagedBufferHeap (workaround)              |      30.57ms |      70.19ms |      100.8ms |      22.61ms
BinaryHeap.ClosureArrayBufferHeap                      |      14.72ms |      87.59ms |      102.3ms |      3.895ms
Framework.ClosureArrayBufferHeap                       |      14.51ms |      88.26ms |      102.8ms |      5.669ms
BinaryHeap.ArrayHeap                                   |      23.91ms |      173.4ms |      197.3ms |      7.049ms
Framework.ArrayHeap                                    |      24.04ms |      173.6ms |      197.6ms |      6.833ms
------------------------------------------------------------------------------------------------------------------

PointerElement Ref                                     |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
BinaryHeap.NonCoWHeap                                  |      8.515ms |      36.09ms |       44.6ms |      6.333ms
Framework.NonCoWHeap                                   |      8.627ms |      36.21ms |      44.83ms |      6.331ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |      7.122ms |      40.65ms |      47.77ms |      7.061ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |      7.193ms |      40.66ms |      47.85ms |      12.12ms
BinaryHeap.UnsafePointerHeap                           |      10.24ms |      38.33ms |      48.56ms |      6.399ms
BinaryHeap.PointerReferenceElementHeap                 |      10.33ms |      38.29ms |      48.62ms |      6.471ms
Framework.ClosureUnsafePointerHeap (argument literal)  |      7.143ms |      41.52ms |      48.66ms |      11.46ms
Framework.UnsafePointerHeap                            |      10.29ms |      38.38ms |      48.67ms |      6.876ms
Framework.ClosureUnsafePointerHeap (local literal)     |      7.023ms |      41.77ms |       48.8ms |      18.79ms
Framework.PointerReferenceElementHeap                  |      10.47ms |      38.96ms |      49.43ms |      6.817ms
Framework.ClosureUnsafePointerHeap (argument <)        |      8.266ms |      46.34ms |      54.61ms |      12.52ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |      7.971ms |      47.25ms |      55.22ms |      19.66ms
BinaryHeap.ClosureArrayBufferHeap                      |      11.25ms |      57.34ms |      68.59ms |       7.27ms
Framework.ClosureArrayBufferHeap                       |      11.26ms |      57.59ms |      68.85ms |      7.616ms
BinaryHeap.ArrayPointerHeap                            |       18.2ms |      53.26ms |      71.46ms |      7.039ms
BinaryHeap.ArrayPointerHeap (workaround)               |      18.29ms |      53.63ms |      71.92ms |      15.74ms
Framework.ArrayPointerHeap                             |      18.63ms |       54.4ms |      73.04ms |      7.109ms
BinaryHeap.ManagedBufferHeap                           |      25.65ms |      56.19ms |      81.85ms |      7.851ms
Framework.ManagedBufferHeap                            |       25.5ms |      56.91ms |       82.4ms |      10.16ms
Framework.ClosureManagedBufferHeap                     |      23.75ms |      60.22ms |      83.97ms |      7.829ms
BinaryHeap.ClosureManagedBufferHeap                    |      23.95ms |      60.46ms |      84.41ms |      7.773ms
BinaryHeap.ManagedBufferHeap (workaround)              |      28.02ms |      57.95ms |      85.97ms |      17.95ms
BinaryHeap.ArrayHeap                                   |       20.8ms |        163ms |      183.8ms |      10.62ms
Framework.ArrayHeap                                    |      20.83ms |      163.7ms |      184.5ms |      10.47ms
------------------------------------------------------------------------------------------------------------------

PointerElement Val                                     |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
Framework.NonCoWHeap                                   |       8.08ms |      40.85ms |      48.93ms |      3.091ms
BinaryHeap.NonCoWHeap                                  |      8.089ms |      40.87ms |      48.96ms |      2.226ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |      6.694ms |       44.1ms |      50.79ms |      3.682ms
Framework.ClosureUnsafePointerHeap (argument literal)  |      6.771ms |      44.58ms |      51.35ms |        8.3ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |      6.831ms |      45.38ms |      52.21ms |      12.18ms
Framework.UnsafePointerHeap                            |      9.827ms |      42.47ms |      52.29ms |      2.471ms
