ReferenceElement                                      |       Insert |       Remove |        Total |            σ
ClosureUnsafePointerHeap (argument literal)           |     0.4335ms |      3.414ms |      3.848ms |     0.4825ms
ArrayPointerHeap (workaround)                         |     0.3234ms |       4.07ms |      4.394ms |     0.4026ms
ClosureArrayBufferHeap                                |     0.4726ms |      3.982ms |      4.454ms |     0.8118ms
Framework.ClosureUnsafePointerHeap (local literal)    |      3.155ms |      9.608ms |      12.76ms |      1.137ms
Framework.ClosureUnsafePointerHeap (argument literal) |       3.18ms |      9.922ms |       13.1ms |      1.566ms
Framework.ClosureUnsafePointerHeap (argument <)       |      3.228ms |      10.27ms |       13.5ms |      2.672ms
ClosureUnsafePointerHeap (local <)                    |      1.342ms |      12.57ms |      13.91ms |      1.333ms
Framework.NonCoWHeap                                  |      1.915ms |      15.76ms |      17.68ms |      1.536ms
Framework.UnsafePointerHeap                           |      4.212ms |      18.46ms |      22.67ms |       2.23ms
Framework.ClosureUnsafePointerHeap (local <)          |      5.054ms |      23.91ms |      28.96ms |      2.394ms
Framework.ClosureArrayBufferHeap                      |      7.218ms |       24.8ms |      32.01ms |      2.425ms
Framework.ArrayPointerHeap                            |      12.66ms |      36.22ms |      48.89ms |      4.256ms
Framework.ClosureManagedBufferHeap                    |      20.05ms |      30.56ms |       50.6ms |      14.72ms
Framework.ManagedBufferHeap                           |      19.47ms |      35.12ms |      54.59ms |      3.879ms
Framework.ArrayHeap                                   |      14.21ms |        139ms |      153.2ms |      11.23ms
-----------------------------------------------------------------------------------------------------------------

PointerElement Val                                    |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
ClosureUnsafePointerHeap (local literal)              |     0.2771ms |      1.374ms |      1.651ms |     0.1661ms
ManagedBufferHeap (workaround)                        |     0.2923ms |      1.429ms |      1.722ms |     0.1958ms
UnsafePointerHeap                                     |     0.2898ms |      1.453ms |      1.743ms |     0.1921ms
PointerValueElementHeap                               |     0.2969ms |      1.465ms |      1.762ms |     0.1954ms
NonCoWHeap                                            |     0.3528ms |      1.528ms |       1.88ms |     0.3636ms
ManagedBufferHeap                                     |     0.3929ms |       1.53ms |      1.923ms |     0.2224ms
ArrayHeap                                             |     0.2866ms |      1.712ms |      1.999ms |     0.1982ms
Framework.PointerValueElementHeap                     |     0.3312ms |      1.819ms |       2.15ms |     0.2359ms
ArrayPointerHeap                                      |     0.4292ms |      1.726ms |      2.155ms |     0.2275ms
ClosureUnsafePointerHeap (argument literal)           |     0.4069ms |      2.742ms |      3.149ms |      0.327ms
ClosureUnsafePointerHeap (argument <)                 |      0.409ms |      2.751ms |       3.16ms |     0.3466ms
ClosureManagedBufferHeap                              |     0.4039ms |      2.764ms |      3.168ms |      0.335ms
ClosureArrayBufferHeap                                |     0.4546ms |      3.333ms |      3.788ms |     0.4569ms
ArrayPointerHeap (workaround)                         |     0.3166ms |       3.76ms |      4.077ms |     0.3989ms
Framework.ClosureUnsafePointerHeap (local literal)    |      3.143ms |      9.253ms |       12.4ms |      1.181ms
Framework.ClosureUnsafePointerHeap (argument <)       |       3.19ms |      9.527ms |      12.72ms |       1.16ms
Framework.ClosureUnsafePointerHeap (argument literal) |      3.203ms |      9.548ms |      12.75ms |      1.297ms
Framework.ClosureArrayBufferHeap                      |      7.156ms |      24.17ms |      31.33ms |      2.494ms
ClosureUnsafePointerHeap (local <)                    |      3.997ms |      37.19ms |      41.19ms |      3.076ms
Framework.NonCoWHeap                                  |      4.578ms |         42ms |      46.57ms |      4.693ms
Framework.ClosureManagedBufferHeap                    |      20.08ms |      29.05ms |      49.13ms |       6.06ms
Framework.UnsafePointerHeap                           |      6.935ms |       44.5ms |      51.43ms |      4.816ms
Framework.ClosureUnsafePointerHeap (local <)          |      7.688ms |      50.12ms |      57.81ms |      4.581ms
Framework.ArrayPointerHeap                            |      15.47ms |      61.17ms |      76.64ms |      6.175ms
Framework.ManagedBufferHeap                           |      22.15ms |      61.22ms |      83.37ms |      6.877ms
Framework.ArrayHeap                                   |      16.86ms |      165.3ms |      182.2ms |      13.61ms
-----------------------------------------------------------------------------------------------------------------

UnmanagedElement                                      |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
ClosureUnsafePointerHeap (local literal)              |      0.248ms |      1.228ms |      1.476ms |     0.1505ms
UnmanagedElementHeap                                  |      0.271ms |      1.237ms |      1.508ms |     0.1562ms
ManagedBufferHeap (workaround)                        |     0.2549ms |      1.255ms |       1.51ms |     0.1797ms
UnsafePointerHeap                                     |     0.2818ms |      1.237ms |      1.518ms |     0.1726ms
NonCoWHeap                                            |     0.3202ms |      1.368ms |      1.688ms |     0.1823ms
ManagedBufferHeap                                     |     0.3627ms |      1.384ms |      1.747ms |     0.3345ms
ArrayHeap                                             |     0.2619ms |      1.564ms |      1.826ms |     0.1678ms
Framework.UnmanagedElementHeap                        |     0.2885ms |      1.609ms |      1.897ms |     0.1764ms
ArrayPointerHeap                                      |     0.4505ms |      1.493ms |      1.943ms |      0.193ms
ClosureUnsafePointerHeap (argument literal)           |     0.3921ms |      2.533ms |      2.925ms |     0.2965ms
